,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
322,251,32,766,1673,1.2669172932330828,9.3450927734375,978
323,279,38,860,1850,1.1134751773049645,-31.652099609375,892
324,285,20,809,1802,1.1293706293706294,36.64141845703125,904
325,255,21,801,1727,1.195729537366548,20.37744140625,952
326,264,22,773,1717,1.1845018450184501,3.303955078125,911
327,283,19,880,1672,1.1373239436619718,-30.9678955078125,903
328,266,20,905,1850,1.137809187279152,-19.76458740234375,904
329,280,20,866,1958,1.2653846153846153,-49.0694580078125,908
330,271,22,845,1708,1.162162162162162,21.5216064453125,958
331,293,38,1203,1923,1.15015015015015,-0.7867431640625,1104
332,250,24,769,1684,1.162962962962963,-22.99615478515625,891
333,269,25,995,1762,1.3493150684931507,13.56396484375,1106
334,288,31,1054,1869,1.137313432835821,96.632568359375,1120
335,279,42,872,1768,1.2040133779264215,17.94879150390625,995
336,263,35,750,1668,1.1731448763250882,-3.0482177734375,922
337,253,27,865,1658,1.180064308681672,60.774169921875,1060
338,275,22,962,1823,1.301418439716312,13.3704833984375,1045
339,279,25,727,1856,1.1264367816091954,8.3525390625,823
340,292,25,785,1792,1.2409638554216869,-20.0262451171875,884
341,266,21,752,1709,1.2666666666666666,-47.78912353515625,865
342,269,46,744,1775,1.0330882352941178,-46.58123779296875,817
343,268,29,818,1712,1.143859649122807,20.24444580078125,952
344,264,39,873,1769,1.1357615894039734,-18.68798828125,958
345,254,33,697,1651,0.9962264150943396,-73.2716064453125,747
346,281,25,824,1770,1.1070110701107012,-9.36083984375,884
347,289,35,999,1928,1.1224489795918366,-32.811767578125,953
348,268,32,867,1751,1.0382165605095541,8.55706787109375,929
349,257,48,725,1597,1.2350746268656716,-56.48590087890625,913
350,269,22,728,1820,1.1454545454545455,9.57025146484375,852
351,275,23,715,1821,1.0891472868217054,-9.67633056640625,803
352,275,23,1274,1813,1.312883435582822,28.0123291015625,1251
353,285,20,961,1826,1.1140065146579805,23.66534423828125,977
354,261,34,1018,1675,1.2436708860759493,62.3553466796875,1149
355,277,24,869,1722,1.1162790697674418,40.56512451171875,976
356,258,31,840,1718,1.1863799283154122,-61.85858154296875,913
357,274,31,834,1726,1.2536764705882353,-12.58013916015625,958
358,268,38,733,1767,1.1130742049469964,42.33758544921875,917
359,264,28,735,1701,1.1964912280701754,27.4710693359375,930
360,272,19,766,1744,1.1223021582733812,30.910400390625,896
361,298,23,858,1680,1.11787072243346,-55.43939208984375,847
362,244,19,560,1581,1.160337552742616,-15.8677978515625,776
